Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
55.1,1,38.4,1_24,02/05/2024,29/05/2024 10:47,-0.2,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,15,4,North,35,05/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,13,5,North,25,06/05/2024,2024,0.75,10,5,33.67
55.1,1,,1_24,,,,,58.7657636,23.4355378,12,6,North,27,07/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,04/05/2024,29/05/2024 12:05,,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,15,4,North,35,05/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,13,5,North,25,06/05/2024,2024,0.75,10,5,33.67
53.8,2,,1_24,,,,,58.7657636,23.4355378,12,6,North,27,07/05/2024,2024,0.75,10,5,33.67
51.5,3,36.6,1_24,06/05/2024,30/05/2024 10:24,5.8,1.9159345,58.7657636,23.4355378,8,1,North,30,02/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,9,2,North,41,03/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,13,3,North,40,04/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,15,4,North,35,05/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,13,5,North,25,06/05/2024,2024,0.75,10,5,33.67
51.5,3,,1_24,,,,,58.7657636,23.4355378,12,6,North,27,07/05/2024,2024,0.75,10,5,33.67
52.2,1,,2_24,02/05/2024,,,-0.2657426,58.7656967,23.4355383,12,1,North,36,02/05/2024,2024,0.57,13,10,26.22
52.2,1,,2_24,,,,,58.7656967,23.4355383,16,2,North,40,03/05/2024,2024,0.57,13,10,26.22
52.2,1,,2_24,,,,,58.7656967,23.4355383,10,3,North,45,04/05/2024,2024,0.57,13,10,26.22
52.2,1,,2_24,,,,,58.7656967,23.4355383,10,4,North,27,05/05/2024,2024,0.57,13,10,26.22
52.2,1,,2_24,,,,,58.7656967,23.4355383,12,5,North,29,06/05/2024,2024,0.57,13,10,26.22
52.2,1,,2_24,,,,,58.7656967,23.4355383,13,6,North,25,07/05/2024,2024,0.57,13,10,26.22
52.2,2,36,2_24,04/05/2024,29/05/2024 11:38,1.2,-0.2657426,58.7656967,23.4355383,12,1,North,36,02/05/2024,2024,0.57,13,10,26.22
52.2,2,,2_24,,,,,58.7656967,23.4355383,16,2,North,40,03/05/2024,2024,0.57,13,10,26.22
52.2,2,,2_24,,,,,58.7656967,23.4355383,10,3,North,45,04/05/2024,2024,0.57,13,10,26.22
52.2,2,,2_24,,,,,58.7656967,23.4355383,10,4,North,27,05/05/2024,2024,0.57,13,10,26.22
52.2,2,,2_24,,,,,58.7656967,23.4355383,12,5,North,29,06/05/2024,2024,0.57,13,10,26.22
52.2,2,,2_24,,,,,58.7656967,23.4355383,13,6,North,25,07/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,05/05/2024,,,-0.2657426,58.7656967,23.4355383,12,1,North,36,02/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,,,,,58.7656967,23.4355383,16,2,North,40,03/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,,,,,58.7656967,23.4355383,10,3,North,45,04/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,,,,,58.7656967,23.4355383,10,4,North,27,05/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,,,,,58.7656967,23.4355383,12,5,North,29,06/05/2024,2024,0.57,13,10,26.22
51.8,3,,2_24,,,,,58.7656967,23.4355383,13,6,North,25,07/05/2024,2024,0.57,13,10,26.22
50.1,1,37,3_24,02/05/2024,29/05/2024 14:48,6.9,-0.2657426,58.7662267,23.433885,15,1,Middle,40,02/05/2024,2024,0.58,5,4,25.26
50.1,1,,3_24,,,,,58.7662267,23.433885,25,2,Middle,55,03/05/2024,2024,0.58,5,4,25.26
50.1,1,,3_24,,,,,58.7662267,23.433885,13,3,Middle,36,04/05/2024,2024,0.58,5,4,25.26
50.1,1,,3_24,,,,,58.7662267,23.433885,16,4,Middle,63,05/05/2024,2024,0.58,5,4,25.26
50.1,1,,3_24,,,,,58.7662267,23.433885,17,5,Middle,55,06/05/2024,2024,0.58,5,4,25.26
50.1,1,,3_24,,,,,58.7662267,23.433885,9,6,Middle,70,07/05/2024,2024,0.58,5,4,25.26
52.6,2,36.4,3_24,04/05/2024,29/05/2024 14:50,6,-0.2657426,58.7662267,23.433885,15,1,Middle,40,02/05/2024,2024,0.58,5,4,25.26
52.6,2,,3_24,,,,,58.7662267,23.433885,25,2,Middle,55,03/05/2024,2024,0.58,5,4,25.26
52.6,2,,3_24,,,,,58.7662267,23.433885,13,3,Middle,36,04/05/2024,2024,0.58,5,4,25.26
52.6,2,,3_24,,,,,58.7662267,23.433885,16,4,Middle,63,05/05/2024,2024,0.58,5,4,25.26
52.6,2,,3_24,,,,,58.7662267,23.433885,17,5,Middle,55,06/05/2024,2024,0.58,5,4,25.26
52.6,2,,3_24,,,,,58.7662267,23.433885,9,6,Middle,70,07/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,06/05/2024,,,-0.2657426,58.7662267,23.433885,15,1,Middle,40,02/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,,,,,58.7662267,23.433885,25,2,Middle,55,03/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,,,,,58.7662267,23.433885,13,3,Middle,36,04/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,,,,,58.7662267,23.433885,16,4,Middle,63,05/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,,,,,58.7662267,23.433885,17,5,Middle,55,06/05/2024,2024,0.58,5,4,25.26
50.1,3,,3_24,,,,,58.7662267,23.433885,9,6,Middle,70,07/05/2024,2024,0.58,5,4,25.26
50.3,1,35.7,4_24,02/05/2024,29/05/2024 15:09,2.4,5.4283344,58.7662605,23.4333965,17,1,Middle,48,02/05/2024,2024,0.79,11,6,19.22
50.3,1,,4_24,,,,,58.7662605,23.4333965,22,2,Middle,50,03/05/2024,2024,0.79,11,6,19.22
50.3,1,,4_24,,,,,58.7662605,23.4333965,36,3,Middle,41,04/05/2024,2024,0.79,11,6,19.22
50.3,1,,4_24,,,,,58.7662605,23.4333965,30,4,Middle,55,05/05/2024,2024,0.79,11,6,19.22
50.3,1,,4_24,,,,,58.7662605,23.4333965,21,5,Middle,52,06/05/2024,2024,0.79,11,6,19.22
50.3,1,,4_24,,,,,58.7662605,23.4333965,9,6,Middle,60,07/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,03/05/2024,01/06/2024 11:59,,5.4283344,58.7662605,23.4333965,17,1,Middle,48,02/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,,,,,58.7662605,23.4333965,22,2,Middle,50,03/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,,,,,58.7662605,23.4333965,36,3,Middle,41,04/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,,,,,58.7662605,23.4333965,30,4,Middle,55,05/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,,,,,58.7662605,23.4333965,21,5,Middle,52,06/05/2024,2024,0.79,11,6,19.22
53.8,2,,4_24,,,,,58.7662605,23.4333965,9,6,Middle,60,07/05/2024,2024,0.79,11,6,19.22
50.7,3,33,4_24,05/05/2024,30/05/2024 15:50,4,5.4283344,58.7662605,23.4333965,17,1,Middle,48,02/05/2024,2024,0.79,11,6,19.22
50.7,3,,4_24,,,,,58.7662605,23.4333965,22,2,Middle,50,03/05/2024,2024,0.79,11,6,19.22
50.7,3,,4_24,,,,,58.7662605,23.4333965,36,3,Middle,41,04/05/2024,2024,0.79,11,6,19.22
50.7,3,,4_24,,,,,58.7662605,23.4333965,30,4,Middle,55,05/05/2024,2024,0.79,11,6,19.22
50.7,3,,4_24,,,,,58.7662605,23.4333965,21,5,Middle,52,06/05/2024,2024,0.79,11,6,19.22
50.7,3,,4_24,,,,,58.7662605,23.4333965,9,6,Middle,60,07/05/2024,2024,0.79,11,6,19.22
56.4,1,39.1,5_24,03/05/2024,28/05/2024 17:51,6.6,-2.3719044,58.7669419,23.4294912,12,1,Head,38,05/05/2024,2024,1.44,17,9,53.99
56.4,1,,5_24,,,,,58.7669419,23.4294912,15,2,Head,68,06/05/2024,2024,1.44,17,9,53.99
56.4,1,,5_24,,,,,58.7669419,23.4294912,5,3,Head,60,07/05/2024,2024,1.44,17,9,53.99
56.4,1,,5_24,,,,,58.7669419,23.4294912,26,4,Head,67,08/05/2024,2024,1.44,17,9,53.99
56.4,1,,5_24,,,,,58.7669419,23.4294912,19,5,Head,45,09/05/2024,2024,1.44,17,9,53.99
56.3,2,41.9,5_24,03/05/2024,29/05/2024 17:21,8.6,-2.3719044,58.7669419,23.4294912,12,1,Head,38,05/05/2024,2024,1.44,17,9,53.99
56.3,2,,5_24,,,,,58.7669419,23.4294912,15,2,Head,68,06/05/2024,2024,1.44,17,9,53.99
56.3,2,,5_24,,,,,58.7669419,23.4294912,5,3,Head,60,07/05/2024,2024,1.44,17,9,53.99
56.3,2,,5_24,,,,,58.7669419,23.4294912,26,4,Head,67,08/05/2024,2024,1.44,17,9,53.99
56.3,2,,5_24,,,,,58.7669419,23.4294912,19,5,Head,45,09/05/2024,2024,1.44,17,9,53.99
52.8,3,35.4,5_24,05/05/2024,29/05/2024 17:23,4.8,-2.3719044,58.7669419,23.4294912,12,1,Head,38,05/05/2024,2024,1.44,17,9,53.99
52.8,3,,5_24,,,,,58.7669419,23.4294912,15,2,Head,68,06/05/2024,2024,1.44,17,9,53.99
52.8,3,,5_24,,,,,58.7669419,23.4294912,5,3,Head,60,07/05/2024,2024,1.44,17,9,53.99
52.8,3,,5_24,,,,,58.7669419,23.4294912,26,4,Head,67,08/05/2024,2024,1.44,17,9,53.99
52.8,3,,5_24,,,,,58.7669419,23.4294912,19,5,Head,45,09/05/2024,2024,1.44,17,9,53.99
48.2,1,33.1,6_24,02/05/2024,28/05/2024 18:15,8.7,3.2814909,58.7670283,23.42931,22,1,Head,41,03/05/2024,2024,0.87,12,12,41.04
48.2,1,,6_24,,,,,58.7670283,23.42931,29,2,Head,46,04/05/2024,2024,0.87,12,12,41.04
48.2,1,,6_24,,,,,58.7670283,23.42931,15,3,Head,28,05/05/2024,2024,0.87,12,12,41.04
48.2,1,,6_24,,,,,58.7670283,23.42931,11,4,Head,50,06/05/2024,2024,0.87,12,12,41.04
48.2,1,,6_24,,,,,58.7670283,23.42931,11,5,Head,45,07/05/2024,2024,0.87,12,12,41.04
50.7,2,35,6_24,04/05/2024,28/05/2024 18:18,-0.1,3.2814909,58.7670283,23.42931,22,1,Head,41,03/05/2024,2024,0.87,12,12,41.04
50.7,2,,6_24,,,,,58.7670283,23.42931,29,2,Head,46,04/05/2024,2024,0.87,12,12,41.04
50.7,2,,6_24,,,,,58.7670283,23.42931,15,3,Head,28,05/05/2024,2024,0.87,12,12,41.04
50.7,2,,6_24,,,,,58.7670283,23.42931,11,4,Head,50,06/05/2024,2024,0.87,12,12,41.04
50.7,2,,6_24,,,,,58.7670283,23.42931,11,5,Head,45,07/05/2024,2024,0.87,12,12,41.04
42.3,3,30.8,6_24,05/05/2024,29/05/2024 17:10,1.1,3.2814909,58.7670283,23.42931,22,1,Head,41,03/05/2024,2024,0.87,12,12,41.04
42.3,3,,6_24,,,,,58.7670283,23.42931,29,2,Head,46,04/05/2024,2024,0.87,12,12,41.04
42.3,3,,6_24,,,,,58.7670283,23.42931,15,3,Head,28,05/05/2024,2024,0.87,12,12,41.04
42.3,3,,6_24,,,,,58.7670283,23.42931,11,4,Head,50,06/05/2024,2024,0.87,12,12,41.04
42.3,3,,6_24,,,,,58.7670283,23.42931,11,5,Head,45,07/05/2024,2024,0.87,12,12,41.04
52.7,1,32.7,7_24,03/05/2024,31/05/2024 10:23,6.7,-6.0091968,58.76602,23.4356317,12,1,North,59,03/05/2024,2024,0.75,9,6,38.63
52.7,1,,7_24,,,,,58.76602,23.4356317,7,2,North,61,04/05/2024,2024,0.75,9,6,38.63
52.7,1,,7_24,,,,,58.76602,23.4356317,2,3,North,35,05/05/2024,2024,0.75,9,6,38.63
52.7,1,,7_24,,,,,58.76602,23.4356317,1,4,North,29,06/05/2024,2024,0.75,9,6,38.63
52.7,1,,7_24,,,,,58.76602,23.4356317,3,5,North,27,07/05/2024,2024,0.75,9,6,38.63
53.6,2,39.4,7_24,07/05/2024,01/06/2024 12:14,-1.3,-6.0091968,58.76602,23.4356317,12,1,North,59,03/05/2024,2024,0.75,9,6,38.63
53.6,2,,7_24,,,,,58.76602,23.4356317,7,2,North,61,04/05/2024,2024,0.75,9,6,38.63
53.6,2,,7_24,,,,,58.76602,23.4356317,2,3,North,35,05/05/2024,2024,0.75,9,6,38.63
53.6,2,,7_24,,,,,58.76602,23.4356317,1,4,North,29,06/05/2024,2024,0.75,9,6,38.63
53.6,2,,7_24,,,,,58.76602,23.4356317,3,5,North,27,07/05/2024,2024,0.75,9,6,38.63
55.4,1,,8_24,03/05/2024,,,-0.8273226,58.7657063,23.435306,8,1,North,36,04/05/2024,2024,0.56,5,4,27.59
55.4,1,,8_24,,,,,58.7657063,23.435306,6,2,North,33,05/05/2024,2024,0.56,5,4,27.59
55.4,1,,8_24,,,,,58.7657063,23.435306,7,3,North,25,06/05/2024,2024,0.56,5,4,27.59
55.4,1,,8_24,,,,,58.7657063,23.435306,12,4,North,25,07/05/2024,2024,0.56,5,4,27.59
55.4,1,,8_24,,,,,58.7657063,23.435306,6,5,North,25,08/05/2024,2024,0.56,5,4,27.59
55.3,2,40.5,8_24,05/05/2024,30/05/2024 10:31,-0.7,-0.8273226,58.7657063,23.435306,8,1,North,36,04/05/2024,2024,0.56,5,4,27.59
55.3,2,,8_24,,,,,58.7657063,23.435306,6,2,North,33,05/05/2024,2024,0.56,5,4,27.59
55.3,2,,8_24,,,,,58.7657063,23.435306,7,3,North,25,06/05/2024,2024,0.56,5,4,27.59
55.3,2,,8_24,,,,,58.7657063,23.435306,12,4,North,25,07/05/2024,2024,0.56,5,4,27.59
55.3,2,,8_24,,,,,58.7657063,23.435306,6,5,North,25,08/05/2024,2024,0.56,5,4,27.59
51.6,3,37.5,8_24,07/05/2024,31/05/2024 10:16,1.2,-0.8273226,58.7657063,23.435306,8,1,North,36,04/05/2024,2024,0.56,5,4,27.59
51.6,3,,8_24,,,,,58.7657063,23.435306,6,2,North,33,05/05/2024,2024,0.56,5,4,27.59
51.6,3,,8_24,,,,,58.7657063,23.435306,7,3,North,25,06/05/2024,2024,0.56,5,4,27.59
51.6,3,,8_24,,,,,58.7657063,23.435306,12,4,North,25,07/05/2024,2024,0.56,5,4,27.59
51.6,3,,8_24,,,,,58.7657063,23.435306,6,5,North,25,08/05/2024,2024,0.56,5,4,27.59
64.4,1,45.6,9_24,03/05/2024,31/05/2024 10:37,-0.2,3.9161643,58.7663604,23.4329657,23,1,Middle,59,03/05/2024,2024,0.8,10,7,19.83
64.4,1,,9_24,,,,,58.7663604,23.4329657,28,2,Middle,70,04/05/2024,2024,0.8,10,7,19.83
64.4,1,,9_24,,,,,58.7663604,23.4329657,38,3,Middle,50,05/05/2024,2024,0.8,10,7,19.83
64.4,1,,9_24,,,,,58.7663604,23.4329657,18,4,Middle,62,06/05/2024,2024,0.8,10,7,19.83
64.4,1,,9_24,,,,,58.7663604,23.4329657,18,5,Middle,63,07/05/2024,2024,0.8,10,7,19.83
63.3,2,43.6,9_24,05/05/2024,01/06/2024 11:54,6.2,3.9161643,58.7663604,23.4329657,23,1,Middle,59,03/05/2024,2024,0.8,10,7,19.83
63.3,2,,9_24,,,,,58.7663604,23.4329657,28,2,Middle,70,04/05/2024,2024,0.8,10,7,19.83
63.3,2,,9_24,,,,,58.7663604,23.4329657,38,3,Middle,50,05/05/2024,2024,0.8,10,7,19.83
63.3,2,,9_24,,,,,58.7663604,23.4329657,18,4,Middle,62,06/05/2024,2024,0.8,10,7,19.83
63.3,2,,9_24,,,,,58.7663604,23.4329657,18,5,Middle,63,07/05/2024,2024,0.8,10,7,19.83
58.1,3,41.8,9_24,07/05/2024,01/06/2024 11:55,3.5,3.9161643,58.7663604,23.4329657,23,1,Middle,59,03/05/2024,2024,0.8,10,7,19.83
58.1,3,,9_24,,,,,58.7663604,23.4329657,28,2,Middle,70,04/05/2024,2024,0.8,10,7,19.83
58.1,3,,9_24,,,,,58.7663604,23.4329657,38,3,Middle,50,05/05/2024,2024,0.8,10,7,19.83
58.1,3,,9_24,,,,,58.7663604,23.4329657,18,4,Middle,62,06/05/2024,2024,0.8,10,7,19.83
58.1,3,,9_24,,,,,58.7663604,23.4329657,18,5,Middle,63,07/05/2024,2024,0.8,10,7,19.83
53.2,1,,10_24,03/05/2024,,,-2.7869056,58.766745,23.4318367,36,2,Middle,64,05/05/2024,2024,0.63,6,4,16.40
53.2,1,,10_24,,,,,58.766745,23.4318367,7,3,Middle,40,06/05/2024,2024,0.63,6,4,16.40
53.2,1,,10_24,,,,,58.766745,23.4318367,3,4,Middle,53,07/05/2024,2024,0.63,6,4,16.40
53.2,1,,10_24,,,,,58.766745,23.4318367,11,5,Middle,60,08/05/2024,2024,0.63,6,4,16.40
53.2,1,,10_24,,,,,58.766745,23.4318367,11,1,Middle,50,03/05/2024,2024,0.63,6,4,16.40
55,2,38.4,10_24,05/05/2024,30/05/2024 14:59,0.7,-2.7869056,58.766745,23.4318367,36,2,Middle,64,05/05/2024,2024,0.63,6,4,16.40
55,2,,10_24,,,,,58.766745,23.4318367,7,3,Middle,40,06/05/2024,2024,0.63,6,4,16.40
55,2,,10_24,,,,,58.766745,23.4318367,3,4,Middle,53,07/05/2024,2024,0.63,6,4,16.40
55,2,,10_24,,,,,58.766745,23.4318367,11,5,Middle,60,08/05/2024,2024,0.63,6,4,16.40
55,2,,10_24,,,,,58.766745,23.4318367,11,1,Middle,50,03/05/2024,2024,0.63,6,4,16.40
54.4,3,,10_24,07/05/2024,29/05/2024 12:56,,-2.7869056,58.766745,23.4318367,36,2,Middle,64,05/05/2024,2024,0.63,6,4,16.40
54.4,3,,10_24,,,,,58.766745,23.4318367,7,3,Middle,40,06/05/2024,2024,0.63,6,4,16.40
54.4,3,,10_24,,,,,58.766745,23.4318367,3,4,Middle,53,07/05/2024,2024,0.63,6,4,16.40
54.4,3,,10_24,,,,,58.766745,23.4318367,11,5,Middle,60,08/05/2024,2024,0.63,6,4,16.40
54.4,3,,10_24,,,,,58.766745,23.4318367,11,1,Middle,50,03/05/2024,2024,0.63,6,4,16.40
56.4,1,37.8,11_24,03/05/2024,29/05/2024 12:56,,-3.6105854,58.76679,23.43082,20,1,Leg,52,04/05/2024,2024,0.56,9,5,4.23
56.4,1,,11_24,,,,,58.76679,23.43082,9,2,Leg,35,05/05/2024,2024,0.56,9,5,4.23
56.4,1,,11_24,,,,,58.76679,23.43082,4,3,Leg,47,06/05/2024,2024,0.56,9,5,4.23
56.4,1,,11_24,,,,,58.76679,23.43082,9,4,Leg,60,07/05/2024,2024,0.56,9,5,4.23
56.4,1,,11_24,,,,,58.76679,23.43082,10,5,Leg,42,08/05/2024,2024,0.56,9,5,4.23
60.6,2,,11_24,04/05/2024,30/05/2024 14:25,,-3.6105854,58.76679,23.43082,20,1,Leg,52,04/05/2024,2024,0.56,9,5,4.23
60.6,2,,11_24,,,,,58.76679,23.43082,9,2,Leg,35,05/05/2024,2024,0.56,9,5,4.23
60.6,2,,11_24,,,,,58.76679,23.43082,4,3,Leg,47,06/05/2024,2024,0.56,9,5,4.23
60.6,2,,11_24,,,,,58.76679,23.43082,9,4,Leg,60,07/05/2024,2024,0.56,9,5,4.23
60.6,2,,11_24,,,,,58.76679,23.43082,10,5,Leg,42,08/05/2024,2024,0.56,9,5,4.23
58.1,3,41.4,11_24,06/05/2024,31/05/2024 10:46,,-3.6105854,58.76679,23.43082,20,1,Leg,52,04/05/2024,2024,0.56,9,5,4.23
58.1,3,,11_24,,,,,58.76679,23.43082,9,2,Leg,35,05/05/2024,2024,0.56,9,5,4.23
58.1,3,,11_24,,,,,58.76679,23.43082,4,3,Leg,47,06/05/2024,2024,0.56,9,5,4.23
58.1,3,,11_24,,,,,58.76679,23.43082,9,4,Leg,60,07/05/2024,2024,0.56,9,5,4.23
58.1,3,,11_24,,,,,58.76679,23.43082,10,5,Leg,42,08/05/2024,2024,0.56,9,5,4.23
55.6,1,39.7,12_24,03/05/2024,29/05/2024 13:06,-4.3,-2.1469163,58.7665917,23.43074,14,1,Leg,74,04/05/2024,2024,0.64,8,4,10.78
55.6,1,,12_24,,,,,58.7665917,23.43074,45,2,Leg,76,05/05/2024,2024,0.64,8,4,10.78
55.6,1,,12_24,,,,,58.7665917,23.43074,12,3,Leg,67,06/05/2024,2024,0.64,8,4,10.78
55.6,1,,12_24,,,,,58.7665917,23.43074,10,4,Leg,56,07/05/2024,2024,0.64,8,4,10.78
55.6,1,,12_24,,,,,58.7665917,23.43074,14,5,Leg,58,08/05/2024,2024,0.64,8,4,10.78
57.6,2,38.6,12_24,04/05/2024,29/05/2024 13:06,-2,-2.1469163,58.7665917,23.43074,14,1,Leg,74,04/05/2024,2024,0.64,8,4,10.78
57.6,2,,12_24,,,,,58.7665917,23.43074,45,2,Leg,76,05/05/2024,2024,0.64,8,4,10.78
57.6,2,,12_24,,,,,58.7665917,23.43074,12,3,Leg,67,06/05/2024,2024,0.64,8,4,10.78
57.6,2,,12_24,,,,,58.7665917,23.43074,10,4,Leg,56,07/05/2024,2024,0.64,8,4,10.78
57.6,2,,12_24,,,,,58.7665917,23.43074,14,5,Leg,58,08/05/2024,2024,0.64,8,4,10.78
52.8,3,37.5,12_24,06/05/2024,30/05/2024 14:03,,-2.1469163,58.7665917,23.43074,14,1,Leg,74,04/05/2024,2024,0.64,8,4,10.78
52.8,3,,12_24,,,,,58.7665917,23.43074,45,2,Leg,76,05/05/2024,2024,0.64,8,4,10.78
52.8,3,,12_24,,,,,58.7665917,23.43074,12,3,Leg,67,06/05/2024,2024,0.64,8,4,10.78
52.8,3,,12_24,,,,,58.7665917,23.43074,10,4,Leg,56,07/05/2024,2024,0.64,8,4,10.78
52.8,3,,12_24,,,,,58.7665917,23.43074,14,5,Leg,58,08/05/2024,2024,0.64,8,4,10.78
56.6,1,38.7,13_24,04/05/2024,01/06/2024 12:06,4.3,0.4725373,58.76634,23.4348083,36,1,Middle,51,04/05/2024,2024,0.79,2,3,22.10
56.6,1,,13_24,,,,,58.76634,23.4348083,23,2,Middle,50,05/05/2024,2024,0.79,2,3,22.10
56.6,1,,13_24,,,,,58.76634,23.4348083,13,3,Middle,68,06/05/2024,2024,0.79,2,3,22.10
56.6,1,,13_24,,,,,58.76634,23.4348083,12,4,Middle,55,07/05/2024,2024,0.79,2,3,22.10
56.6,1,,13_24,,,,,58.76634,23.4348083,16,5,Middle,70,08/05/2024,2024,0.79,2,3,22.10
57.8,2,40,13_24,06/05/2024,01/06/2024 12:08,6.4,0.4725373,58.76634,23.4348083,36,1,Middle,51,04/05/2024,2024,0.79,2,3,22.10
57.8,2,,13_24,,,,,58.76634,23.4348083,23,2,Middle,50,05/05/2024,2024,0.79,2,3,22.10
57.8,2,,13_24,,,,,58.76634,23.4348083,13,3,Middle,68,06/05/2024,2024,0.79,2,3,22.10
57.8,2,,13_24,,,,,58.76634,23.4348083,12,4,Middle,55,07/05/2024,2024,0.79,2,3,22.10
57.8,2,,13_24,,,,,58.76634,23.4348083,16,5,Middle,70,08/05/2024,2024,0.79,2,3,22.10
57.8,3,41.8,13_24,07/05/2024,02/06/2024 11:01,2.8,0.4725373,58.76634,23.4348083,36,1,Middle,51,04/05/2024,2024,0.79,2,3,22.10
57.8,3,,13_24,,,,,58.76634,23.4348083,23,2,Middle,50,05/05/2024,2024,0.79,2,3,22.10
57.8,3,,13_24,,,,,58.76634,23.4348083,13,3,Middle,68,06/05/2024,2024,0.79,2,3,22.10
57.8,3,,13_24,,,,,58.76634,23.4348083,12,4,Middle,55,07/05/2024,2024,0.79,2,3,22.10
57.8,3,,13_24,,,,,58.76634,23.4348083,16,5,Middle,70,08/05/2024,2024,0.79,2,3,22.10
60,1,,14_24,04/05/2024,,,4.3105438,58.7662484,23.434688,32,1,Middle,67,04/05/2024,2024,0.53,8,5,32.31
60,1,,14_24,,,,,58.7662484,23.434688,20,2,Middle,44,07/05/2024,2024,0.53,8,5,32.31
60,1,,14_24,,,,,58.7662484,23.434688,18,3,Middle,45,08/05/2024,2024,0.53,8,5,32.31
60,1,,14_24,,,,,58.7662484,23.434688,39,4,Middle,62,09/05/2024,2024,0.53,8,5,32.31
60,1,,14_24,,,,,58.7662484,23.434688,12,5,Middle,51,11/05/2024,2024,0.53,8,5,32.31
58.9,2,,14_24,06/05/2024,,,4.3105438,58.7662484,23.434688,32,1,Middle,67,04/05/2024,2024,0.53,8,5,32.31
58.9,2,,14_24,,,,,58.7662484,23.434688,20,2,Middle,44,07/05/2024,2024,0.53,8,5,32.31
58.9,2,,14_24,,,,,58.7662484,23.434688,18,3,Middle,45,08/05/2024,2024,0.53,8,5,32.31
58.9,2,,14_24,,,,,58.7662484,23.434688,39,4,Middle,62,09/05/2024,2024,0.53,8,5,32.31
58.9,2,,14_24,,,,,58.7662484,23.434688,12,5,Middle,51,11/05/2024,2024,0.53,8,5,32.31
58.5,3,,14_24,07/05/2024,,,4.3105438,58.7662484,23.434688,32,1,Middle,67,04/05/2024,2024,0.53,8,5,32.31
58.5,3,,14_24,,,,,58.7662484,23.434688,20,2,Middle,44,07/05/2024,2024,0.53,8,5,32.31
58.5,3,,14_24,,,,,58.7662484,23.434688,18,3,Middle,45,08/05/2024,2024,0.53,8,5,32.31
58.5,3,,14_24,,,,,58.7662484,23.434688,39,4,Middle,62,09/05/2024,2024,0.53,8,5,32.31
58.5,3,,14_24,,,,,58.7662484,23.434688,12,5,Middle,51,11/05/2024,2024,0.53,8,5,32.31
58.2,1,40.2,15_24,04/05/2024,01/06/2024 11:41,5.9,3.4300235,58.7665116,23.4307349,18,1,Leg,53,04/05/2024,2024,0.44,3,2,16.21
58.2,1,,15_24,,,,,58.7665116,23.4307349,16,2,Leg,54,05/05/2024,2024,0.44,3,2,16.21
58.2,1,,15_24,,,,,58.7665116,23.4307349,14,3,Leg,45,06/05/2024,2024,0.44,3,2,16.21
58.2,1,,15_24,,,,,58.7665116,23.4307349,23,4,Leg,58,07/05/2024,2024,0.44,3,2,16.21
58.2,1,,15_24,,,,,58.7665116,23.4307349,37,5,Leg,49,08/05/2024,2024,0.44,3,2,16.21
53.7,2,38.7,15_24,06/05/2024,01/06/2024 11:39,6,3.4300235,58.7665116,23.4307349,18,1,Leg,53,04/05/2024,2024,0.44,3,2,16.21
