Egg,EggNb,Chick,nest,LayingDate,HatchingDate,Growth,BLUP,latitude,longitude,FID_m,Repetition,Zone,SD_m,Date,Year,height_m,Count_Larcan_nests_Hannah,Count_Larcan_nests,Distance_coast
56,1,39.2,849_25,,,,4.976882864,58.765985,23.435755,,,Middle,,,2025,0.946874976,9,,
56,2,37,849_25,,,,4.976882864,58.765985,23.435755,,,Middle,,,2025,0.946874976,9,,
51.1,3,35.7,849_25,,,,4.976882864,58.765985,23.435755,,,Middle,,,2025,0.946874976,9,,
63.2,1,41.9,850_25,,,,-2.729658437,58.7658546,23.4355162,,,North,,,2025,0.66187495,9,,
62.3,2,41.7,850_25,,,,-2.729658437,58.7658546,23.4355162,,,North,,,2025,0.66187495,9,,
60.9,3,37.5,850_25,,,,-2.729658437,58.7658546,23.4355162,,,North,,,2025,0.66187495,9,,
53.6,1,39.6,851_25,,,,-4.634737044,58.76584,23.43555,,,North,,,2025,0.734375,9,,
54.9,2,44.3,851_25,,,,-4.634737044,58.76584,23.43555,,,North,,,2025,0.734375,9,,
52,3,36.5,851_25,,,,-4.634737044,58.76584,23.43555,,,North,,,2025,0.734375,9,,
52.3,1,36.1,852_25,,,,-0.163218552,58.765735,23.4355167,,,North,,,2025,0.724999964,14,,
54.2,2,40.3,852_25,,,,-0.163218552,58.765735,23.4355167,,,North,,,2025,0.724999964,14,,
51.9,3,39,852_25,,,,-0.163218552,58.765735,23.4355167,,,North,,,2025,0.724999964,14,,
57.2,1,39.4,869_25,,,,-3.542603543,58.7658368,23.4352051,,,North,,,2025,0.631874979,4,,
57.7,2,42.3,869_25,,,,-3.542603543,58.7658368,23.4352051,,,North,,,2025,0.631874979,4,,
54.5,3,33,869_25,,,,-3.542603543,58.7658368,23.4352051,,,North,,,2025,0.631874979,4,,
62.3,1,47,870_25,,,,-3.525749344,58.7658134,23.4354871,,,North,,,2025,0.710624993,11,,
61.9,2,40.2,870_25,,,,-3.525749344,58.7658134,23.4354871,,,North,,,2025,0.710624993,11,,
58.6,3,40.3,870_25,,,,-3.525749344,58.7658134,23.4354871,,,North,,,2025,0.710624993,11,,
