nest,NDVI,NDWI,Mat_Gland,Mat_Head,Mat_Birth,Mat_Age,Mat_Cort,Pat_Gland,Pat_Head,Pat_Birth,Pat_Age,Pat_Cort,Mean_Gland,Mean_Head,Mean_Age,Mean_Cort,BLUP,BLUP_25,latitude,longitude,first_egg_date,parents,Bird_FID,FID_m,FID_time,Repetition,Zone,Note_,Note_time,SD_m,SD_time,note_,note_time,Date,Time,Year,gull10m,height_m,dist_shore_m,dist_shore_m_new,distMOD,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,2nd_clutch,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_ALL_nests,Count_Larcan_nests,Distance_coast,Count_ALL_nests_Hannah,Count_Larcan_nests_Hannah
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,6,,5,North,,,25,,,,23/05/2023,10:42:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,7,,6,North,,,22,,,,24/05/2023,12:40:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,11,,7,North,,,19,,,,25/05/2023,10:35:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
543_23,0.573319674,0.310000002,,,,,,,,,,,,,,,,,58.7659351,23.4355568,09/05/2023,,,6,,8,North,,,21,,,,26/05/2023,14:01:00,2023,0.06095969,0.68,55.39145875,#N/A,35.39145875,56.2,59.2,56.5,,3,3,,1,1,171.9,39.5,42.7,38.6,,120.8,4,4,52.01,7,7
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,-1.6527857,-0.851283013,58.7672862,23.4295732,08/05/2023,,,39,,1,Head,,,48,,,,19/05/2023,15:13:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,6,,2,Head,,,25,,,,20/05/2023,13:28:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,15,,3,Head,,,30,,,,21/05/2023,10:20:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,18,,4,Head,,,22,,,,22/05/2023,15:09:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,5,,5,Head,,,33,,,,23/05/2023,12:05:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
588_23,0.743243019,0.546666662,,,,,,,,,,,,,,,,,58.7672862,23.4295732,08/05/2023,,,4,,6,Head,,,25,,,,24/05/2023,11:43:00,2023,0.052051065,0.71,39.49941311,#N/A,19.49941311,52.8,52.2,48.5,,3,3,,1,1,153.5,39.4,40.3,36.6,,116.3,6,4,38.08,10,8
