nest,BLUP_25,latitude,longitude,first_egg_date,FID_m,Repetition,Zone,SD_m,Date,Time,Year,height_m,Egg1,Egg2,Egg3,Egg4,TotEgg,EggHatched,ProbaChick,HatchSucc,ClutchMass,Chick1,Chick2,Chick3,Chick4,ChickNmass,Count_Larcan_nests_Hannah
1083_25,,58.7661164,23.4345004,08/05/2025,,,Middle,,,,2025,0.25,57.3,,,,1,0,0,0,57.3,,,,,0,4
1090_25,4.828153899,58.76636,23.4329012,08/05/2025,34,1,Middle,56,09/05/2025,12:04:20,2025,0.664999962,55,52.2,53,,3,2,1,0.666666667,160.2,39,,36.3,,75.3,8
1090_25,,58.76636,23.4329012,08/05/2025,18,2,Middle,54,10/05/2025,12:31:37,2025,0.664999962,55,52.2,53,,3,2,1,0.666666667,160.2,39,,36.3,,75.3,8
1091_25,-10.77824498,58.7664682,23.4324717,08/05/2025,4,1,Middle,60,09/05/2025,12:07:25,2025,0.423124999,55.4,51.9,53,,5,0,0,0,261.53,,,,,0,7
1091_25,,58.7664682,23.4324717,08/05/2025,4,2,Middle,60,10/05/2025,12:52:48,2025,0.423124999,55.4,51.9,53,,5,0,1,0,261.53,,,,,0,7
1092_25,-2.979859971,58.7668073,23.4316504,08/05/2025,9,1,Middle,49,09/05/2025,12:19:10,2025,0.66624999,50.6,48,47.8,,3,2,1,0.666666667,146.4,,40.5,38,,78.5,6
1092_25,,58.7668073,23.4316504,08/05/2025,9,2,Middle,24,10/05/2025,13:10:34,2025,0.66624999,50.6,48,47.8,,3,2,1,0.666666667,146.4,,40.5,38,,78.5,6
1098_25,-0.600317124,58.7666934,23.4309061,08/05/2025,8,1,Leg,25,09/05/2025,13:40:15,2025,0.42749998,61.1,59.4,56.2,,3,3,1,1,176.7,42.5,32,33.6,,108.1,11
1098_25,,58.7666934,23.4309061,08/05/2025,18,2,Leg,51,10/05/2025,13:25:28,2025,0.42749998,61.1,59.4,56.2,,3,3,1,1,176.7,42.5,32,33.6,,108.1,11
1099_25,2.255294773,58.7666398,23.4308348,08/05/2025,21,1,Leg,26,09/05/2025,13:45:01,2025,0.418749988,49.7,46,,,2,0,0,0,95.7,,,,,0,7
1099_25,,58.7666398,23.4308348,08/05/2025,15,2,Leg,55,10/05/2025,13:25:15,2025,0.418749988,49.7,46,,,2,0,0,0,95.7,,,,,0,7
1101_25,6.681292614,58.7665246,23.4306393,08/05/2025,39,1,Leg,60,09/05/2025,13:01:12,2025,0.57249999,52.4,52.5,47.2,,3,3,1,1,152.1,,31.7,34.1,,65.8,5
